,Unnamed: 0,chunk_id,User Story,Chunk Text,Unnamed: 4,Score
0,2365,63,"As a fan, I want game events to be reported live so that I can keep track of what is happening as closely as possible.","Spk 0: Subscribe to the notifications and Yeah, okay, so the fan portal will have say, let's say it will have three different sections. So first section is where the fan can follow the, follow the player or follow the team and get notifications. Second section can be uh the live update section where fans can also see what referees posting from our referee reporting what referees posting. And then also we can include the live score that is going on in the match. And the third section will have the overall tournament scores and the ranking of each team
Spk 1: So for each of the information that you currently mentioned, you can subscribe to it and then get notification. So for example, if it is registered to the game and the game was is already started and uh and then for example there is uh replacement of a player then when the referee is reporting it, you would get a notification. Okay. Okay.
Spk 0: All right. Um Fine. And uh the communications that we're talking about within a vial the budgeting by the reporting by the notifications. Uh So of course there will be app notifications. Uh Do we also need uh some email notifications or some direct messages?",,1
2,2698,72,"As a fan, I want game events to be reported live so that I can keep track of what is happening as closely as possible.","Spk 2: Okay. So, so you need the system to enable the referees and the official channels to be the only source of channel uh, of data about the games.
Spk 1: Yeah. And the fans are of course exposed to it. So they don't need to look forward news portal. Just look into the system.
Spk 2: Okay. Okay. Um,",,1
4,589,15,"As a fan, I want game events to be reported live so that I can keep track of what is happening as closely as possible.","Spk 1: Which reports you're referring to?
Spk 2: Like other than the budgeting and the financials. Do you receive reports on the games themselves? What's happening with the scheduling? What? Yeah.
Spk 1: Okay. So what are currently what is being done in the er in the end the games that the referee probably is writing some kind of report and then you set it over to the IFA. The system, in the system to be Uh I would like them to referee to insert the events that occurred during the game. Real time. So I would expect him to use his mobile phone to record the event in real time. It can be the main referee or the side referee or they can insert and only then can insert event of the of the game. Since we would like to have the other information as reliable as possible. So only the referee can update the event that the country during the game. This can be for example scoring a goal and offside uh red card uh player replacement and things like that. So each event will have its timestamp the event itself and maybe additional information that is required for the specific event.",,1
6,2069,55,"As a fan, I want game events to be reported live so that I can keep track of what is happening as closely as possible.","Spk 0: All right. Moving on to the fan portal. Um uh it was mentioned that you need experience improvements for the fans. So can you be very specific like we want to hear from you before suggesting our technical improvements. So what experience improvements do you expect?
Spk 1: So currently any information the fans would like nowadays, they need to pull the information. Yeah. You need to look for it. If you can change is the schedule. They need to look for it. Uh If a player post a message, you should look for it and things like that. Our view in the new systems, we would like the fan to get information from the system in a push mail. So for example, if he's interested in a, in a certain game Barcelona versus Real Madrid. Uh, so we would register to that game and you would get notifications, notifications regarding that game. For example, if the game of if the schedule is changed would get notification.
Spk 2: Okay.",,1
10,2846,76,"As a fan, I want game events to be reported live so that I can keep track of what is happening as closely as possible.","Spk 1: Yeah, because for the fans there is no direct communication in the fans. They have to, you know to initiate the fans, have to initiate the communication and not like we discussed before with the other notification mechanism. Uh this is one issue. Mm I think this is the main issue will be unable to the fans to register to specific information that they are interested in and then we push them the information. I think this is the main idea. Did this answer your question.
Spk 0: Yes, yes you did. Uh and also um for that to be to be system can we uh like if you like, and we incorporate some auto reminders, For example, your reporters do uh the as as we discussed that the team members also have to. The team manager has to support a submit a report to the IFA once a year. So some some kind of automatic reminder notification
Spk 1: Yeah yeah  for me, some kind of policy regulation in regards to the for the budget. Uh another issue, defend defend itself can itself can specify uh alerts, so for example, remind me five minutes before the game starts. Okay, So we're registered to the specific and you can, you know when it starts and then you can get an amplification as well.",,0
132,2667,72,"As a fan, I want to access the system on my phone, so that I can access it wherever I am.","Spk 2: Okay. So, so you need the system to enable the referees and the official channels to be the only source of channel uh, of data about the games.
Spk 1: Yeah. And the fans are of course exposed to it. So they don't need to look forward news portal. Just look into the system.
Spk 2: Okay. Okay. Um,",,0
133,2630,71,"As a fan, I want to access the system on my phone, so that I can access it wherever I am.","Spk 1: So the data that's collected nowadays that uh, for example, if we are watch again and we can have it update through the news portal, uh, and at this minute we got score, a goal. So this minute there was an offset and things like that. But this is not an official one. So there is, there is a mixture of data. Okay. In the new system only the referee, you can update this through the system. So it's, it's coherent and reliable.
Spk 2: Okay. So, so you need the system to enable the referees and the official channels to be the only source of channel uh, of data about the games.
Spk 1: Yeah. And the fans are of course exposed to it. So they don't need to look forward news portal. Just look into the system.",,0
135,2038,55,"As a fan, I want to access the system on my phone, so that I can access it wherever I am.","Spk 0: All right. Moving on to the fan portal. Um uh it was mentioned that you need experience improvements for the fans. So can you be very specific like we want to hear from you before suggesting our technical improvements. So what experience improvements do you expect?
Spk 1: So currently any information the fans would like nowadays, they need to pull the information. Yeah. You need to look for it. If you can change is the schedule. They need to look for it. Uh If a player post a message, you should look for it and things like that. Our view in the new systems, we would like the fan to get information from the system in a push mail. So for example, if he's interested in a, in a certain game Barcelona versus Real Madrid. Uh, so we would register to that game and you would get notifications, notifications regarding that game. For example, if the game of if the schedule is changed would get notification.
Spk 2: Okay.",,0
136,2408,65,"As a fan, I want to access the system on my phone, so that I can access it wherever I am.","Spk 0: All right. Um Fine. And uh the communications that we're talking about within a vial the budgeting by the reporting by the notifications. Uh So of course there will be app notifications. Uh Do we also need uh some email notifications or some direct messages?
Spk 1: No. No. I'll prefer that everything would be in the application of the website. I assume that the teams, for example, and uh on the IFA administrative would work with computers in kind of a web based application. The referee and the fans will probably have the app uh mobile applications so they can work with more easily.
Spk 0: Okay, so there will be like two separate systems. One is the very official one for the budgeting and reporting purposes, and the other one will be a fan, fan, fan with the fun things. I would say",,1
137,2260,61,"As a fan, I want to access the system on my phone, so that I can access it wherever I am.","Spk 0: So yeah, so this is uh, somewhat in line with what we thought of again, to build a very nice fan portal there, the teams can have their own pages, the players can have their own separate profiles or pages and then fans can follow those pages and uh comment or our pictures and um something, something like that, correct?
Spk 1: Indeed. But they also can register to that. Okay, you will follow, you follow its like, register,
Spk 0: Subscribe to the notifications and Yeah, okay, so the fan portal will have say, let's say it will have three different sections. So first section is where the fan can follow the, follow the player or follow the team and get notifications. Second section can be uh the live update section where fans can also see what referees posting from our referee reporting what referees posting. And then also we can include the live score that is going on in the match. And the third section will have the overall tournament scores and the ranking of each team",,0
264,2102,56,"As a fan, I want to be able to choose which game events I will be notified of, so that I do not get too many notifications for my liking.","Spk 1: So currently any information the fans would like nowadays, they need to pull the information. Yeah. You need to look for it. If you can change is the schedule. They need to look for it. Uh If a player post a message, you should look for it and things like that. Our view in the new systems, we would like the fan to get information from the system in a push mail. So for example, if he's interested in a, in a certain game Barcelona versus Real Madrid. Uh, so we would register to that game and you would get notifications, notifications regarding that game. For example, if the game of if the schedule is changed would get notification.
Spk 2: Okay.
Spk 1: I can also registered to one of its favourite players. For example, it would registered to Messi uh, page. And then uh, when Messi posts a message, you would get a notification from the system.",,1
265,2398,64,"As a fan, I want to be able to choose which game events I will be notified of, so that I do not get too many notifications for my liking.","Spk 1: So for each of the information that you currently mentioned, you can subscribe to it and then get notification. So for example, if it is registered to the game and the game was is already started and uh and then for example there is uh replacement of a player then when the referee is reporting it, you would get a notification. Okay. Okay.
Spk 0: All right. Um Fine. And uh the communications that we're talking about within a vial the budgeting by the reporting by the notifications. Uh So of course there will be app notifications. Uh Do we also need uh some email notifications or some direct messages?
Spk 1: No. No. I'll prefer that everything would be in the application of the website. I assume that the teams, for example, and uh on the IFA administrative would work with computers in kind of a web based application. The referee and the fans will probably have the app uh mobile applications so they can work with more easily.",,1
269,2842,76,"As a fan, I want to be able to choose which game events I will be notified of, so that I do not get too many notifications for my liking.","Spk 1: Yeah, because for the fans there is no direct communication in the fans. They have to, you know to initiate the fans, have to initiate the communication and not like we discussed before with the other notification mechanism. Uh this is one issue. Mm I think this is the main issue will be unable to the fans to register to specific information that they are interested in and then we push them the information. I think this is the main idea. Did this answer your question.
Spk 0: Yes, yes you did. Uh and also um for that to be to be system can we uh like if you like, and we incorporate some auto reminders, For example, your reporters do uh the as as we discussed that the team members also have to. The team manager has to support a submit a report to the IFA once a year. So some some kind of automatic reminder notification
Spk 1: Yeah yeah  for me, some kind of policy regulation in regards to the for the budget. Uh another issue, defend defend itself can itself can specify uh alerts, so for example, remind me five minutes before the game starts. Okay, So we're registered to the specific and you can, you know when it starts and then you can get an amplification as well.",,1
272,2176,58,"As a fan, I want to be able to choose which game events I will be notified of, so that I do not get too many notifications for my liking.","Spk 1: I can also registered to one of its favourite players. For example, it would registered to Messi uh, page. And then uh, when Messi posts a message, you would get a notification from the system.
Spk 2: Okay. Okay. Okay.
Spk 1: So, so in that sense, the fans will become more involved in the community. Whatever changes or things are everything.",,0
