User Story,Chunk Text,Author 1,Author 2,Author 3
"As a patient, I want to be able to make appointments in case of an emergency, so that can always come by quickly.","Speaker 3: Yeah. Yeah. And as always, it's just a recommendation, right? So it's always up to the patient to to pick a date and a time that's available. Yeah. And then make the appointment. So it's then it's always like the, uh, an appointment that is suited for the patients.
Speaker 2: Yeah.
Speaker 3: Okay.",0,0,0
"As a patient, I want to be able to make appointments in case of an emergency, so that can always come by quickly.","Speaker 3: And at least have the opportunity to, to have a remote system that the patient can log in and make their own appointments and, uh, based based on the information that. So it's easily changed, even if you have, like a premade appointment.
Speaker 1: And I also think, uh, an important part of that slight time lag that is there is that, uh, a dentist should always if like, the system would be fully automatic at some point. A dentist should always be able to intervene. So if a system says like, oh, this person only has to have their next appointment in like two years or something, somehow, you never know. Some parameters are weird and this is some spits out something strange that the dentist actually sees that and it's like, well, wait a minute, let's not do that. And so yeah, that might actually yeah, might, might be a better idea.
Speaker 2: So more something like they, they get a notification or an email like the day after they had an appointment with information about okay. So we did this, um, we noticed this. So for future appointments this might be the best.",0,0,0
"As a patient, I want to be able to make appointments in case of an emergency, so that can always come by quickly.","Speaker 3: So it's it's wrong. It needs to be fixed. Yeah.
Speaker 4: And so that's, uh.
Speaker 2: Because the patient also gets any control in this situation. So they make the appointments and then they can see it in the app. Um, can they change it then, or, uh, can I change the appointment since it's a more specialized appointment instead of just say, checkup?",0,0,0
"As a patient, I want to be able to make appointments in case of an emergency, so that can always come by quickly.","Speaker 1: Financial reasons or. Yeah, mom's died.
Speaker 4: Yeah. But, um.
Speaker 1: I also think maybe in the case of, like, a dentist making such a direct, uh, appointment, it's usually because of urgency. So maybe, um, in the database, each appointment should maybe have, like, a, like an attribute. Urgency. Yes. Just a boolean. Urgent, true or false, and maybe urgent appointments. Then if a patient, uh, were to try to move that one, they might get maybe an extra pop up, like, hey, this is an urgent, uh, uh, appointment. Are you sure about this? Yeah, maybe something like that.",1,1,1
"As a patient, I want to be able to make appointments in case of an emergency, so that can always come by quickly.","Speaker 2: Um.
Speaker 3: Yeah. Uh, uh, so, uh, we started out with, uh, yeah, centering the appointments and making sure that everything that needs to be connected to the appointments is connected to the appointment. So a patient is able to set the appointment, um, and the appointment belongs to a dentist. So the patient makes an appointment with a dentist. Um, and the appointment should be based on a recommendation. So, uh, right now, this means that, um, a patient is only able to make an appointment based on a recommendation. Uh, I feel like the way we, uh. Yeah. How we landed on the last meeting, this was kind of the way to go. Um, does the patient also need to be able to set an appointment without a recommendation?
Speaker 4: Um, yeah, I think the option should be there. Um, for. Of course, if you suddenly have, like, tooth aches or something, you just want to be able to call and say, hey, my tooth is, uh, messed up, so I need some help or. Yeah, I think there's always cases where the you have to go, like around the recommendation system.",1,1,0
"As a patient, I want detailed information about the recommended procedure, so that I know what is going to happen in the next appointment.","Speaker 3: Yeah. Yeah. And as always, it's just a recommendation, right? So it's always up to the patient to to pick a date and a time that's available. Yeah. And then make the appointment. So it's then it's always like the, uh, an appointment that is suited for the patients.
Speaker 2: Yeah.
Speaker 3: Okay.",0,0,0
"As a patient, I want detailed information about the recommended procedure, so that I know what is going to happen in the next appointment.","Speaker 4: Yeah. And then you also don't need to get a recommendation about that appointment. Uh. Because now the after the procedure, then you update the system and then it spits out a new recommendation. But that is not necessary if you have like an appointment next week and, uh, then you don't need the recommendation for, uh, you, uh, should get an appointment next week. Uh.
Speaker 2: Yeah.
Speaker 1: Yeah, because we've already talked about it face to face. Of course. Yeah.",0,0,0
"As a patient, I want detailed information about the recommended procedure, so that I know what is going to happen in the next appointment.","Speaker 3: Okay.
Speaker 2: Um, so going a bit back to the recommendations themselves. Um. We didn't know. Um, so, uh, specifically, what does the recommendation say? What are the points that need to be in the recommendation? So, um, I guess the date. So when does the appointment need to be made? Uh, but more than that, uh, what do they get to see.
Speaker 1: Yeah. Good question. Um, yeah, I feel like. So. Yeah. Firstly, when and I think maybe not a specific date, but more like, okay, in this area of time, maybe, maybe you could say, okay, go in November or whatever. Maybe a week or two weeks or some window that that makes sense. Um, of course, what the appointment is like. So this week for either dental hygienist or regular checkup or for taking X-rays or I'm not sure. So whatever it is. Um, and then, um, yeah, patients can just book their own specific time slots and I think then, um, yeah, sort of maybe not in the email then, but sort of like very small, maybe in 2 or 3 bullet points, like the explainability of the system. Like, okay, well, maybe just a y just y, okay. Because this and that or something.",1,0,0
"As a patient, I want detailed information about the recommended procedure, so that I know what is going to happen in the next appointment.","Speaker 3: Level. To the next level. Yeah.
Speaker 4: Yeah.
Speaker 1: And I think also in terms of the like the control from the patient side and like the, um, I think the explainability of the system would also be very important. So kind of from an explainable recommender system angle okay. You get recommended this option. But why. You know, so I guess if this the automatic part of the system would like come up with a recommendation. The patient should have to see maybe the few aspects that we have waiting the most to that. So for example, okay, you have to have digital dental hygienist appointments because of I don't know, you've had to had, uh, this amount of plaque removal two times in a row. Yeah, something like that. So, uh, and then also as you mentioned, probably the financial pros and cons of it maybe. So sort of a cost analysis. Okay. Uh, you get recommended this, but, uh, it probably saves you this much money because you avoid this procedure by doing this right now, instead of leaving this and only coming in another half year and then seeing that there's bigger problems. So. Yeah.",1,1,0
"As a patient, I want detailed information about the recommended procedure, so that I know what is going to happen in the next appointment.","Speaker 4: Maybe you can get why it doesn't work. And then the system could use that information.
Speaker 2: Or just also like how far in advance, uh, the system needs to give the recommendation, because right now, uh, in my experience, I always get like an email, like two months in advance because the dentist is always booked, like completely full. And I can only make an appointment in like two months if it's not check up. Um, so I don't know if it's if the situation is the same in your practices, but, um. But, um, if so, then the system needs to make like, the recommendations, like, way in advance to make sure that there are actually spaces available. Because if you also need, uh, if you also need to keep, uh, like slots open for like the emergency, uh, uh, uh, appointments, those take also longer. So you need like big open slots for emergencies. So there aren't actually that many slots open for normal appointments. So how far in advance do the appointments also need to, uh, be recommended?
Speaker 1: Yeah, I think basically as we discussed, kind of all the way at the start, sort of as early as possible, because of course you have, um, just a state of the database with all like the historical data and the dental data. And then, um, a patient comes in and then there's some stuff happening, some stuff being found out, then that is used to update the state of the database, and then in that the whole period following that, it's just stagnant that the database doesn't change. So right then the recommendation can already be made. So as we said before, maybe just the day after they could get an email to just do it as early as possible, I think that might be most efficient.",0,0,0
"As an employee, I want new recommendations to be generated when I update the dental records, so that the patients can always create new appointments when new information is added to the system.","Speaker 2: Yeah.
Speaker 1: Like we said, you'll never suddenly recommend something if, like, the database hasn't changed. So you just look every time, every time someone has come to the dentist. Because then the data has changed. And then you can make a new recommendation and then, you know.
Speaker 2: Yeah. Because we, um, made an entity like, called appointments info. So, uh, we imagine this as like the notes or the updates the dentist makes for the dental records. Um, so dental records are like the general information about every patient. So the records get updated, and then a new recommendation gets made based on those new updated records. So if the records don't get updated, then no recommendation should be made, is what you're saying? No.",1,1,1
"As an employee, I want new recommendations to be generated when I update the dental records, so that the patients can always create new appointments when new information is added to the system.","Speaker 4: Maybe you can get why it doesn't work. And then the system could use that information.
Speaker 2: Or just also like how far in advance, uh, the system needs to give the recommendation, because right now, uh, in my experience, I always get like an email, like two months in advance because the dentist is always booked, like completely full. And I can only make an appointment in like two months if it's not check up. Um, so I don't know if it's if the situation is the same in your practices, but, um. But, um, if so, then the system needs to make like, the recommendations, like, way in advance to make sure that there are actually spaces available. Because if you also need, uh, if you also need to keep, uh, like slots open for like the emergency, uh, uh, uh, appointments, those take also longer. So you need like big open slots for emergencies. So there aren't actually that many slots open for normal appointments. So how far in advance do the appointments also need to, uh, be recommended?
Speaker 1: Yeah, I think basically as we discussed, kind of all the way at the start, sort of as early as possible, because of course you have, um, just a state of the database with all like the historical data and the dental data. And then, um, a patient comes in and then there's some stuff happening, some stuff being found out, then that is used to update the state of the database, and then in that the whole period following that, it's just stagnant that the database doesn't change. So right then the recommendation can already be made. So as we said before, maybe just the day after they could get an email to just do it as early as possible, I think that might be most efficient.",1,1,0
"As an employee, I want new recommendations to be generated when I update the dental records, so that the patients can always create new appointments when new information is added to the system.","Speaker 1: Yeah. Yeah, but I do think what you mentioned might actually be a nice failsafe. So. Yeah. So of course, in the new system, the dentist also would still look at a patient's dental record during the procedures and stuff. So like it's being done now so they can still look on their screen and see, oh yeah, you have this tooth and whatever. So maybe it would be nice to also then have like that information up there as well. Uh, yeah. Could be an extra failsafe to make sure everyone stays nice and healthy.
Speaker 2: Yeah. Because I can imagine that, um, a system recommending procedures, it's cool. And it might, uh, improve things, but, uh, knowing medical institutions, uh, a lot can change when the procedure is actually happening. Uh, so building in some field saves might be smart. Yeah. So the recommendation should not be like the one and holy entity that decides everything. It's like what it says. Like it's a recommendation, not. Yeah. Yeah.
Speaker 1: Oh, yeah. That's a really good point.",0,0,0
"As an employee, I want new recommendations to be generated when I update the dental records, so that the patients can always create new appointments when new information is added to the system.","Speaker 2: Okay. Uh, so, uh, right now, when someone, uh, is done with their appointment, um, they leave the dentist and they go to the front desk to make a new appointment. Uh, in this case, do they already have, like, a recommendation from the dentist, or is it just completely up to the patient to make. And, uh.
Speaker 1: Do you mean in the as a situation? Yeah. So right now it's either just the standard or you just go for the checkup every six months? Yeah, unless during your checkup, the dentist either sees you have a cavity and it's like, oh, we have to do something, or they see like, oh, you really have this amount of plaque. So you should now make an appointment with the dental hygienist or something. So it could be like a direct recommendation that just the dentist tells you during the checkup. Yeah. Yeah, that sometimes happens. And if that isn't there, then it will just be like the standard six month period, basically.
Speaker 2: Yeah. Because I'm thinking that the system would help people to stay more healthy. And it's just weird to just leave some people out who don't want to use technology. So I thought maybe there would be a way to still include them in the system, but I think it's just too hard because then that would break the whole workflow. Yeah, yeah.",0,0,0
